id,field_roc_rule_index_id,field_rule_index_section_label,parent_section_by_label,parent_entity_id,field_rule_index_section_content,,,,,,,,
ten__chapter_5__management_of_human_resources__372,ten,Chapter 5. Management of Human Resources,Division 2. Administration of the Judicial Branch,ten__division_2__administration_of_the_judicial_branch__367,Rule 10.350. Workers' compensation program::Rule 10.351. Judicial branch policies on workplace conduct,,,,,,,,Chapter 12. Trial Court Management of Civil Cases
ten__chapter_6__court_technology__information__and_automation__373,ten,"Chapter 6. Court Technology, Information, and Automation",Division 2. Administration of the Judicial Branch,ten__division_2__administration_of_the_judicial_branch__367,Rule 10.400. Judicial Branch Statistical Information System (JBSIS),,,,,,,,Chapter 13. Trial Court Management of Criminal Cases
ten__chapter_7__minimum_education_requirements__expectations__and_recommendations__374,ten,"Chapter 7. Minimum Education Requirements, Expectations, and Recommendations",Division 2. Administration of the Judicial Branch,ten__division_2__administration_of_the_judicial_branch__367,"Rule 10.451. Judicial branch education::Rule 10.452. Minimum education requirements, expectations, and recommendations::Rule 10.455. Ethics orientation for Judicial Council members and for judicial branch employees required to file a statement of economic interests::Rule 10.461. Minimum education requirements for Supreme Court and Court of Appeal justices::Rule 10.462. Minimum education requirements and expectations for trial court judges and subordinate judicial officers::Rule 10.463. Education requirements for family court judges and subordinate judicial officers::Rule 10.464. Education requirements and expectations for judges and subordinate judicial officers on domestic violence issues::Rule 10.468. Content-based and hours-based education for superior court judges and subordinate judicial officers regularly assigned to hear probate proceedings::Rule 10.469. Judicial education recommendations for justices, judges, and subordinate judicial officers::Rule 10.471. Minimum education requirements for Supreme Court and Court of Appeal clerks/executive officers::Rule 10.472. Minimum education requirements for Supreme Court and Court of Appeal managing attorneys, supervisors, and other personnel::Rule 10.473. Minimum education requirements for trial court executive officers::Rule 10.474. Trial court managers, supervisors, and other personnel::Rule 10.478. Content-based and hours-based education for court investigators, probate attorneys, and probate examiners::Rule 10.479. Education recommendations for appellate and trial court personnel::Rule 10.481. Approved providers; approved course criteria::Rule 10.491. Minimum education requirements for Judicial Council employees::Rule 10.492. Temporary extension and pro rata reduction of judicial branch education requirements::Rule 10.493. Instructor-led training",,,,,,,,Chapter 14. Management of Self-Help Centers
ten__division_3__judicial_administration_rules_applicable_to_all_courts__375,ten,Division 3. Judicial Administration Rules Applicable to All Courts,,,Rule 10.500. Public access to judicial administrative records::Rule 10.501. Maintenance of budget and management information::Rule 10.502. Judicial sabbatical program::Rule 10.503. Use of recycled paper by all courts [Repealed]::Rule 10.504. Smoking prohibited in all courts::Rule 10.505. Judicial robes,,,,,,,,Chapter 15. Elections Code Reports
ten__division_4__trial_court_administration__376,ten,Division 4. Trial Court Administration,,,,,,,,,,,Division 5. Appellate Court Administration
ten__chapter_1__general_rules_on_trial_court_management__377,ten,Chapter 1. General Rules on Trial Court Management,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,"Rule 10.601. Superior court management::Rule 10.602. Selection and term of presiding judge::Rule 10.603. Authority and duties of presiding judge::Rule 10.605. Executive committee::Rule 10.608. Duties of all judges::Rule 10.609. Notification to State Bar of attorney misconduct::Rule 10.610. Duties of court executive officer::Rule 10.611. Nondiscrimination in court appointments::Rule 10.612. Use of gender-neutral language::Rule 10.613. Local court rules-adopting, filing, distributing, and maintaining::Rule 10.614. Local court forms::Rule 10.620. Public access to administrative decisions of trial courts::Rule 10.625. Certain demographic data relating to regular grand jurors::Rule 10.630. Reciprocal assignment orders",,,,,,,,Chapter 1. Rules Relating to the Supreme Court and Courts of Appeal
ten__chapter_2__trial_court_management_of_human_resources__378,ten,Chapter 2. Trial Court Management of Human Resources,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,,,,,,,,,Chapter 2. Rules Relating to the Superior Court Appellate Division
ten__article_1__trial_court_employee_labor_relations__379,ten,Article 1. Trial Court Employee Labor Relations,Chapter 2. Trial Court Management of Human Resources,ten__chapter_2__trial_court_management_of_human_resources__378,"Rule 10.650. Court Employee Labor Relations Rules::Rule 10.651. Purpose::Rule 10.652. Definitions::Rule 10.653. Right and obligation to meet and confer::Rule 10.654. Scope of representation::Rule 10.655. Governing court employee labor relations::Rule 10.656. Transition provisions::Rule 10.657. Construction::Rule 10.658. Interpretation::Rule 10.659. Other provisions::Rule 10.660. Enforcement of agreements-petitions (Gov. Code, §§ 71639.5, 71825.2)",,,,,,,,Title 1. Standards for All Courts [Reserved]
ten__article_2__other_human_resources_rules__380,ten,Article 2. Other Human Resources Rules,Chapter 2. Trial Court Management of Human Resources,ten__chapter_2__trial_court_management_of_human_resources__378,Rule 10.670. Trial court personnel plans,,,,,,,,Title 2. Standards for Proceedings in the Trial Courts
ten__chapter_3__subordinate_judicial_officers__381,ten,Chapter 3. Subordinate Judicial Officers,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.700. Role of subordinate judicial officers::Rule 10.701. Qualifications and education of subordinate judicial officers::Rule 10.702. Subordinate judicial officers: practice of law::Rule 10.703. Subordinate judicial officers: complaints and notice requirements,,,,,,,,Title 3. Standards for Civil Cases
ten__chapter_4__referees__reserved___382,ten,Chapter 4. Referees [Reserved],Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,,,,,,,,,Title 4. Standards for Criminal Cases
ten__chapter_5__temporary_judges__383,ten,Chapter 5. Temporary Judges,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.740. Responsibilities of the trial courts for temporary judge programs::Rule 10.741. Duties and authority of the presiding judge::Rule 10.742. Use of attorneys as court-appointed temporary judges::Rule 10.743. Administrator of temporary judges program::Rule 10.744. Application procedures to serve as a court-appointed temporary judge::Rule 10.745. Performance::Rule 10.746. Complaints,,,,,,,,Title 5. Standards for Cases Involving Children and Families
ten__chapter_6__court_interpreters__384,ten,Chapter 6. Court Interpreters,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.761. Regional Court Interpreter Employment Relations Committees::Rule 10.762. Cross-assignments for court interpreter employees,,,,,,,,Title 6. [Reserved]
ten__chapter_7__qualifications_of_court_investigators__probate_attorneys__and_probate_examiners__385,ten,"Chapter 7. Qualifications of Court Investigators, Probate Attorneys, and Probate Examiners",Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,"Rule 10.776. Definitions::Rule 10.777. Qualifications of court investigators, probate attorneys, and probate examiners",,,,,,,,Title 7. Standards for Probate Proceedings
ten__chapter_8__alternative_dispute_resolution_programs__386,ten,Chapter 8. Alternative Dispute Resolution Programs,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.780. Administration of alternative dispute resolution (ADR) programs::Rule 10.781. Court-related ADR neutrals::Rule 10.782. ADR program information::Rule 10.783. ADR program administration,,,,,,,,Title 8. Standards for the Appellate Courts
ten__chapter_9__trial_court_budget_and_fiscal_management__387,ten,Chapter 9. Trial Court Budget and Fiscal Management,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,"Rule 10.800. Superior court budgeting::Rule 10.801. Superior court budget procedures::Rule 10.803. Information access disputes-writ petitions (Gov. Code, § 71675)::Rule 10.804. Superior court financial policies and procedures::Rule 10.805. Notice of change in court-county relationship::Rule 10.810. Court operations::Rule 10.811. Reimbursement of costs associated with homicide trials::Rule 10.815. Fees to be set by the court::Rule 10.820. Acceptance of credit cards by the superior courts::Rule 10.821. Acceptance of checks and other negotiable paper::Rule 10.830. Disposal of surplus court personal property",,,,,,,,"Title 9. Standards on Law Practice, Attorneys, and Judges [Reserved]"
ten__chapter_10__trial_court_records_management__388,ten,Chapter 10. Trial Court Records Management,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.850. Trial court records::Rule 10.851. Court indexes-automated maintenance::Rule 10.854. Standards and guidelines for trial court records::Rule 10.855. Superior court records sampling program::Rule 10.856. Notice of superior court records destruction,,,,,,,,Title 10. Standards for Judicial Administration
ten__chapter_11__trial_court_automation__389,ten,Chapter 11. Trial Court Automation,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.870. Trial court automation standards,,,,,,,,
ten__chapter_12__trial_court_management_of_civil_cases__390,ten,Chapter 12. Trial Court Management of Civil Cases,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.900. Case management and calendaring system::Rule 10.901. Internal management procedures::Rule 10.910. Assigned cases to be tried or dismissed-notification to presiding judge,,,,,,,,
ten__chapter_13__trial_court_management_of_criminal_cases__391,ten,Chapter 13. Trial Court Management of Criminal Cases,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,"Rule 10.950. Role of presiding judge, supervising judge, criminal division, and master calendar department in courts having more than three judges::Rule 10.951. Duties of supervising judge of the criminal division::Rule 10.952. Meetings concerning the criminal court system::Rule 10.953. Procedures for disposition of cases before the preliminary hearing",,,,,,,,
ten__chapter_14__management_of_self_help_centers__392,ten,Chapter 14. Management of Self-Help Centers,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,Rule 10.960. Court self-help centers,,,,,,,,
ten__chapter_15__elections_code_reports__393,ten,Chapter 15. Elections Code Reports,Division 4. Trial Court Administration,ten__division_4__trial_court_administration__376,"Rule 10.970 Reports of findings and orders affecting voting rights (Elec. Code, § 2211.5)",,,,,,,,
ten__division_5__appellate_court_administration__394,ten,Division 5. Appellate Court Administration,,,,,,,,,,,
ten__chapter_1__rules_relating_to_the_supreme_court_and_courts_of_appeal__395,ten,Chapter 1. Rules Relating to the Supreme Court and Courts of Appeal,Division 5. Appellate Court Administration,ten__division_5__appellate_court_administration__394,Rule 10.1000. Transfer of causes::Rule 10.1004. Court of Appeal administrative presiding justice::Rule 10.1008. Courts of Appeal with more than one division::Rule 10.1012. Supervising progress of appeals::Rule 10.1014. Oversight of administrative presiding justices and presiding justices::Rule 10.1016. Notice of failure to perform judicial duties::Rule 10.1017. Notification to State Bar of attorney misconduct::Rule 10.1020. Reviewing court clerk/executive officer::Rule 10.1024. Court of Appeal minutes::Rule 10.1028. Preservation and destruction of Court of Appeal records::Rule 10.1030. Local rules of Courts of Appeal,,,,,,,,
ten__chapter_2__rules_relating_to_the_superior_court_appellate_division__396,ten,Chapter 2. Rules Relating to the Superior Court Appellate Division,Division 5. Appellate Court Administration,ten__division_5__appellate_court_administration__394,Rule 10.1100. Assignments to the appellate division::Rule 10.1104. Presiding judge::Rule 10.1108. Sessions,,,,,,,,
standards__title_1__standards_for_all_courts__reserved___397,standards,Title 1. Standards for All Courts [Reserved],,,,,,,,,,,
standards__title_2__standards_for_proceedings_in_the_trial_courts__398,standards,Title 2. Standards for Proceedings in the Trial Courts,,,Standard 2.1. Case management and delay reduction-statement of general principles::Standard 2.2. Trial court case disposition time goals::Standard 2.10. Procedures for determining the need for an interpreter and a preappearance interview::Standard 2.11. Interpreted proceedings-instructing participants on procedure::Standard 2.20. Trial management standards::Standard 2.25. Uninterrupted jury selection::Standard 2.30. Judicial comment on verdict or mistrial,,,,,,,,
standards__title_3__standards_for_civil_cases__399,standards,Title 3. Standards for Civil Cases,,,Standard 3.1. Appearance by telephone::Standard 3.10. Complex civil litigation::Standard 3.25. Examination of prospective jurors in civil cases,,,,,,,,
standards__title_4__standards_for_criminal_cases__400,standards,Title 4. Standards for Criminal Cases,,,Standard 4.10. Guidelines for diversion drug court programs::Standard 4.15. Vacatur relief under Penal Code section 236.14::Standard 4.30. Examination of prospective jurors in criminal cases::Standard 4.35. Court use of risk/needs assessments at sentencing::Standard 4.40. Traffic infraction procedures::Standard 4.41. Courtesy notice-traffic procedures [Repealed]::Standard 4.42. Traffic infraction trial scheduling,,,,,,,,
standards__title_5__standards_for_cases_involving_children_and_families__401,standards,Title 5. Standards for Cases Involving Children and Families,,,Standard 5.20. Uniform standards of practice for providers of supervised visitation::Standard 5.30. Family court matters::Standard 5.40. Juvenile court matters::Standard 5.45. Resource guidelines for child abuse and neglect cases,,,,,,,,
standards__title_6___reserved___402,standards,Title 6. [Reserved],,,,,,,,,,,
standards__title_7__standards_for_probate_proceedings__403,standards,Title 7. Standards for Probate Proceedings,,,Standard 7.10. Settlements or judgments in certain civil cases involving minors or persons with disabilities,,,,,,,,
standards__title_8__standards_for_the_appellate_courts__404,standards,Title 8. Standards for the Appellate Courts,,,Standard 8.1. Memorandum opinions,,,,,,,,
standards__title_9__standards_on_law_practice__attorneys__and_judges__reserved___405,standards,"Title 9. Standards on Law Practice, Attorneys, and Judges [Reserved]",,,,,,,,,,,
standards__title_10__standards_for_judicial_administration__406,standards,Title 10. Standards for Judicial Administration,,,"Standard 10.5. The role of the judiciary in the community::Standard 10.16. Model code of ethics for court employees::Standard 10.17. Trial court performance standards::Standard 10.20. Court's duty to prevent bias::Standard 10.21. Appointment of attorneys, arbitrators, mediators, referees, masters, receivers, and other persons::Standard 10.24. Children's waiting room::Standard 10.25. Reasonable accommodation for court personnel::Standard 10.31. Master jury list::Standard 10.41. Court sessions at or near state penal institutions::Standard 10.50. Selection of regular grand jury::Standard 10.51. Juror complaints::Standard 10.55. Local program on waste reduction and recycling::Standard 10.70. Implementation and coordination of mediation and other alternative dispute resolution (ADR) programs::Standard 10.71. Alternative dispute resolution (ADR) committees::Standard 10.72. ADR committees and criteria for referring cases to dispute resolution neutrals",,,,,,,,
ethics____407,ethics,,,,"Standard 1. Purpose, intent, and construction::Standard 2. Definitions::Standard 3. Application and effective date::Standard 4. Duration of duty::Standard 5. General duty::Standard 6. Duty to refuse appointment::Standard 7. Disclosure::Standard 8. Additional disclosures in consumer arbitrations administered by a provider organization::Standard 9. Arbitrators' duty to inform themselves about matters to be disclosed::Standard 10. Disqualification::Standard 11. Duty to refuse gift, bequest, or favor::Standard 12. Duties and limitations regarding future professional relationships or employment::Standard 13. Conduct of proceeding::Standard 14. Ex parte communications::Standard 15. Confidentiality::Standard 16. Compensation::Standard 17. Marketing",,,,,,,,
